nd,nper,freq,duree
3c21577432a917e0c0b75c2ccd977e4a,3,60.2,2029.604
b5a40c6285b21837bee91fb8814dd85b,3,33.2,1459.73799999999
1211951fef8275323311976786e190bd,3,24.5,774.887999999999
bd10fe5526a0df9366f52141b0108782,3,8,290.532
4c0a19d2963f7a08aca7634f519d9dac,3,11.1111111111111,276.125555555555
fbfd6fc4df5bdb620069f916b18ae22e,3,51,1765.75999999999
0da32ad8636cf2fe4c8e32ff5134432d,2.5,9.5,468.24
3665370122995314648962c53d615603,3,15.4,386.784
87f948e27848ceaf9613879b2d1d13c5,3,99.4,3485.34199999999
2fa5c1d492ddafc463634138b406ae89,3,32.1666666666666,812.696666666666
8700b53452b2f2e6ed26ac4e874b5b6c,2,18.5,308.59
5b3be2c05222e89ad94c1ee3ff86f551,2.375,83.75,3046.49
aae917df0553ee6ebfe9ac9cb16d180e,3.83333333333333,5.16666666666666,169.306666666666
5e82cc1651a720c806748d052d5594f5,3,5.75,276.63
1dcdec6a265d8aa7ac650cbd71aa8b2d,2,3,92.28
484bc9e482db3abfe86195d3895c290b,3.5,19.875,869.58875
60c5cc2b54bdee701a1c0d9eda0d00ce,3,29.2,883.930999999999
46696b5fa8bc965f9eff2f35ab00e88a,3.28571428571428,11.4285714285714,391.515714285714
e3e7bfef39514fd0f147fd9a96511bca,3.66666666666666,13.8888888888888,526.706666666666
e6e52d012774fb1dc029224553c40bb0,3,5,199.268
f0ff4fb77553958ec02f8271e1da83ee,2.625,15.25,499.446249999999
60e42d7394a2361b1c3ab6a3815ba3c7,3,174.4,5447.464
6c5033e0e6115071e8a461de597635c4,3,19.2,739.359999999999
25916d40c6019575eb0cbd8eb55cc4d3,1.5,5,170.23
825031ade2a0276310e10117100754ba,3,1.5,79.84
c9ec3b74d41a63a57a8819d8f5923353,1,4,23.42
2af93516b2fe1f5ab8cd226cefd2bf74,3,96,3698.66999999999
31960e9ad9d1da0b83a45a4b05e9c941,2.66666666666666,19.8333333333333,479.345
2500b92a5a52f4dac0255643d33d2d7b,1,5,185.78
e72597c175e27976e15c1cc2e11d8002,3,37.8,1323.568
245157f9c380bafeb9921afff2c53cec,3,54,1921.238
79df7ae41793ff318e8d5cc06c2109de,2.57142857142857,19,691.53
a03c4f514cd0b45e9ed55d70374da971,3,64.2,2524.532
735f3940725a75facd1866a384d8b929,3.66666666666666,7.33333333333333,260.803333333333
2549f41791eca2070add84a6d3c6b651,3.66666666666666,21,755.63
094cb343a3a80c91e2655efec4b68c05,2,94.6666666666666,2607.04666666666
d5063cca9f3bb22f6e6d943e72b42c87,3.33333333333333,4.66666666666666,82.08
5b7a4276cb09980f04d4da90c07978ab,1,3.5,94.495
f8594e1e3daf8589e67e507383b5a704,3,50.6,1564.754
0ab30ad45edf053e198f65f89d8f0023,2.57142857142857,45.5714285714285,1463.73714285714
ebf066e4cb3fbf8c0317bf576b931263,3.22222222222222,19.6666666666666,811.246666666666
3238f0d90449aee5dd42a4403f21bd98,2.66666666666666,45.1666666666666,1318.14499999999
a55c7dc1091a3b5ff46268b8a7deb000,1,4,175.1
8558970c8f443034acb6fed5c58cf45f,3,42.2,1408.298
43ce50b34b86aaa2b7e1f174e233ecf8,3.4,17.8,425.024
f7e8ef7d81fdc6d8c4d194c9dbfcf67b,3.22222222222222,27.8888888888888,1075.92
0156a46417f6352c1b4983f3e8ffe806,3,12.8,300.262
26f88b572a8bb29380e9c532538cb537,3,45.4,1600.55399999999
e274a9aad0320e975796f22d01fdb63a,3,9,269.85
aff7ba9559c01458e7f770dca9666746,3,47.8,1363.421
8e9d75452b8bc9df51b26a57cf2f7b91,3,119.2,4489.038
e9201a19eda17a418fc52e232f8e3a65,3,10.4,336.512
72472cb5cbb7a289aef836e3bf032c26,3,14.6,512.354
4c50367f3a7154c3ef5c0a27737341c4,3.33333333333333,8,259.096666666666
7e3206012e785a6b5b25c4222874a4ee,2.6,7.8,134.68
47cd00e4b9bcb739fde6e609fe285787,3,40.2,964.046999999999
3e60c619bce8145691a200a8f7f8e150,3.22222222222222,28.3333333333333,816.925555555555
dec7f3d4031c7edd8cdcc89e19d2a497,3,32.6,940.879999999999
045036f15720b55749ac6df6cc3f8103,2.83333333333333,3.33333333333333,134.953333333333
53ae8ca35fa69f1211140532ac0267e2,1.5,6,307.26
5901cc96998fc300df26481413244ff4,1,4,79.24
b12a966e531c295ba4c5aecb1ff18a04,3,115.4,3239.532
27f2e4d0dd434f0dc7fc7e181bd25e0c,2.8,27.2,914.343999999999
12823bd7e71a357950354ba2f79a5056,3,4.25,196.885
29831204b979268d5c1836aefb3ac81e,3,45.8,2083.815
e0e1a4be9815bb3bd755fb417bcf6029,3.5,28.75,532.23
995de8a0713098021e30d2eb9a6adbee,1.5,3,50.835
d6d92f74adf9d528c7bd11f7b1b4ba18,3.28571428571428,18.2857142857142,664.66
385a51e1e045081b12e59a79d66e97f2,2.71428571428571,22.1428571428571,643.351428571428
cb60024ab4265b29a30afbf1beacf543,3,22,550.879999999999
51bce449dcd412ae16dcef309b67b1d6,3,9.6,227.911999999999
d87da4c343730c568b9a7c486f326418,3,152.1,2714.65699999999
289d4fd1032e0cc571ca5c30a5778a25,3.375,58.25,1694.3575
43d48ea24d6f49c87d99e463782e7bd5,3.22222222222222,19.4444444444444,801.758888888888
2b3fde224ed3b5d5ba70e03aa84b76f5,3,8.6,306.099
c9a04d0879e38f7680de4b1e970a127e,3.25,8,181.707499999999
cec22048b3072fe3aec28490502d2cfb,2,25.3333333333333,1076.61
14c2afda3c40af586688f5e99d1b9a7b,3,64.3333333333333,2145.65333333333
35537a05644e93c4a7ba86b3dfb032f0,3,11,465.791999999999
a50a0aca22b5c8c2609ce6ccf5a743de,3,40.2,1262.482
4a8b95eaa237dc1ef4763e8481ae78dc,2.85714285714285,7.28571428571428,375.194285714285
11604cddf0f60cee799534c610cf39ba,4.2,3.8,140.146
e063a74297d7fac6813cfd892a41bf22,2.71428571428571,59.7142857142857,2119.59285714285
04a8e92629308b6feb188a5e6f5f00a1,2.57142857142857,53.2857142857142,1535.90999999999
84dc107336b32de218fae887b374c0b9,3,30.2,798.098
be6df4b4b377b8f6d7db8cbe75e312ee,2.66666666666666,19.3333333333333,466.095
a46347d433fe7f5739b178037d3b79d3,3.42857142857142,72.2857142857142,2492.75285714285
55bbe897504836f825a26463bcc01672,1.33333333333333,8.33333333333333,196.063333333333
7e13d1962bec41ede60025cabe21b539,4,9.33333333333333,324.093333333333
f405f12836dc89c617359676dca5e5c7,3,13.5,270.28
e64fc39e69f90aa8d33887e6bc5d31e2,2.81818181818181,44.090909090909,1507.02545454545
8b6275c97c0064783126b7ac1e2c9410,3,25.6,917.392
c040e52c64c687364d63efb814b5b631,3,12.3,316.529
8c89958b78471578c0bf7e8b376a4397,3.5,13.75,479.4825
